,eRNA,log2FC,p_value,q_value,-log10qval,rejected,Tissue
200,ENSR00000156547,-1.8348782309603875,1.9856047386309003e-11,7.199835068531557e-11,10.142677452130823,True,Kidney
201,ENSR00000088461,-1.6031759816978821,1.981082247854713e-11,7.199835068531557e-11,10.142677452130823,True,Kidney
202,ENSR00000217166,-1.7355461915502355,2.3786941380670765e-11,8.555625690144483e-11,10.067748224130986,True,Kidney
203,ENSR00000292170,-1.7747118177985182,2.42988218969679e-11,8.70463820566079e-11,10.060249274925788,True,Kidney
204,ENSR00000036711,-1.6444451286386423,2.760477085139723e-11,9.810175812148252e-11,10.008323209382372,True,Kidney
205,ENSR00000061968,-2.2893627161978687,2.76048669153499e-11,9.810175812148252e-11,10.008323209382372,True,Kidney
206,ENSR00000283588,-1.571069167498155,2.8540987702538023e-11,1.0102603583596792e-10,9.995566687972286,True,Kidney
207,ENSR00000328145,-3.90201977084026,3.474928204981332e-11,1.2251525529025092e-10,9.911809830680047,True,Kidney
208,2:236571406-236577406,-1.757262561470917,3.505776419349317e-11,1.2311624275825163e-10,9.909684646703681,True,Kidney
209,ENSR00000217500,-3.896851415144125,3.534251657013576e-11,1.2362950894337686e-10,9.907877855770757,True,Kidney
210,ENSR00000168733,-1.6690909207703348,3.602268710694036e-11,1.2502815914159844e-10,9.902992163131582,True,Kidney
211,ENSR00000141033,-1.700898236179779,4.2751781447558363e-11,1.4667149635085407e-10,9.833654277297173,True,Kidney
212,ENSR00000226753,-1.5506051674938688,5.998199768018425e-11,2.0190166766311074e-10,9.694860093865199,True,Kidney
213,ENSR00000226752,-1.547137674640894,6.216701010021775e-11,2.0846982334358737e-10,9.680956801619967,True,Kidney
214,1:46328090-46334090,-2.3566996297166396,7.956185828931428e-11,2.6284880590395686e-10,9.580293991597811,True,Kidney
215,ENSR00000230605,-1.7951051155740527,9.116634029897818e-11,3.000751865191459e-10,9.522769915282755,True,Kidney
216,18:58491546-58497546,-2.146040718643406,1.1745966899010843e-10,3.8099645359700625e-10,9.419079066818918,True,Kidney
217,ENSR00000295791,-1.7361904784629865,1.3364775332554258e-10,4.2728959127736194e-10,9.369277686414874,True,Kidney
218,1:206065034-206071034,-1.9325891747330073,1.4422268872188594e-10,4.594522797854366e-10,9.337759589179038,True,Kidney
219,ENSR00000220405,-1.614731381256686,1.6641004602945883e-10,5.208342493272887e-10,9.28330046490687,True,Kidney
220,ENSR00000031921,-1.9420110022780228,1.6592549157408785e-10,5.208342493272887e-10,9.28330046490687,True,Kidney
221,ENSR00000116608,-2.711127709517489,1.805508946417108e-10,5.63116776295126e-10,9.249401534026653,True,Kidney
222,ENSR00000018885,-1.9020412197945253,1.8750894203474164e-10,5.827804052090228e-10,9.234495058914158,True,Kidney
223,ENSR00000018887,-2.138231214837337,1.8860104424199301e-10,5.841393453606172e-10,9.233483540383284,True,Kidney
224,9:127097470-127103470,-2.3287265424084422,2.218767336377152e-10,6.801169979547834e-10,9.167416370829875,True,Kidney
225,ENSR00000091917,-2.1213377001834273,2.3105636787019018e-10,7.058297265075673e-10,9.151300054978117,True,Kidney
226,ENSR00000313466,-1.8554915967748293,2.578750790532993e-10,7.823964983521869e-10,9.106573101918979,True,Kidney
227,ENSR00000116288,-1.816343612791047,2.6237874385006444e-10,7.933621678449405e-10,9.10052851307276,True,Kidney
228,ENSR00000121536,-1.7749153363075199,3.1185536922783403e-10,9.366161257617103e-10,9.028438369222059,True,Kidney
229,ENSR00000127939,-1.8595884182609108,3.154597771345747e-10,9.442621516914115e-10,9.024907417537166,True,Kidney
230,ENSR00000328666,-1.7560489908703212,3.704016354261608e-10,1.1050108989971084e-09,8.956633438403342,True,Kidney
231,ENSR00000168731,-1.8420888912726756,3.8006232994178253e-10,1.1300519943602332e-09,8.946901573911047,True,Kidney
232,2:28175117-28181117,-1.6584146661992227,4.224274949785456e-10,1.24769975338034e-09,8.903889910757808,True,Kidney
233,14:105069641-105075641,-1.5763046338483568,4.3341023588163786e-10,1.275913961737363e-09,8.894178610256322,True,Kidney
234,ENSR00000015444,-2.782994728039631,5.082789031597821e-10,1.4913973079556763e-09,8.82640664516722,True,Kidney
235,ENSR00000179801,-2.189695230028663,5.471784000783841e-10,1.595042917875551e-09,8.797227626872779,True,Kidney
236,ENSR00000179800,-2.1217376226164792,5.61321551344252e-10,1.6309407941337875e-09,8.78756180428633,True,Kidney
237,ENSR00000103953,-2.0707783940512714,5.840232020620533e-10,1.6913918709069857e-09,8.771755761026723,True,Kidney
238,ENSR00000314581,-2.182877769578324,6.61351207445909e-10,1.902984764650809e-09,8.720564688672816,True,Kidney
239,ENSR00000025053,-2.5978147837780865,7.036681050649409e-10,2.0117690696087413e-09,8.696421873293367,True,Kidney
240,ENSR00000242576,-1.5192000060140363,7.486657629599624e-10,2.126782995414925e-09,8.67227682072338,True,Kidney
241,ENSR00000305991,-1.9378771796842447,8.191092622662358e-10,2.3121691833591213e-09,8.635980391397226,True,Kidney
242,ENSR00000031361,-1.8731932510195313,8.424323385426462e-10,2.363049201195096e-09,8.626527235800944,True,Kidney
243,ENSR00000077096,-1.6430516158357955,9.60027043512882e-10,2.6430374160910212e-09,8.577896688746138,True,Kidney
244,ENSR00000222532,-1.582842893527585,9.582720273277777e-10,2.6430374160910212e-09,8.577896688746138,True,Kidney
245,ENSR00000077095,-1.6697206283658848,1.3190917809068666e-09,3.5872861846613566e-09,8.445233975021443,True,Kidney
246,7:53395636-53401636,-1.878090767360222,1.5035176938186709e-09,4.039571635199561e-09,8.393664685961815,True,Kidney
247,ENSR00000091918,-2.136777480817376,1.6066017724464039e-09,4.290684973120336e-09,8.367473370682406,True,Kidney
248,ENSR00000119895,-1.899325102819788,1.7356011071770886e-09,4.593935274783274e-09,8.337815127992208,True,Kidney
249,ENSR00000128088,-1.8767554969844389,2.052452241214904e-09,5.4005527998929045e-09,8.267561783574163,True,Kidney
250,2:190946600-190952600,-1.6718289752318296,2.29638128796938e-09,6.006956330993217e-09,8.221345525248852,True,Kidney
251,10:95324211-95330211,-1.7511335719835068,2.4722104767108496e-09,6.4291887615920634e-09,8.191843823124126,True,Kidney
252,ENSR00000256340,-1.91871357653212,2.5061618882384208e-09,6.498536059036835e-09,8.187184466909263,True,Kidney
253,ENSR00000018886,-1.917026788010308,2.603709344361332e-09,6.731909377305241e-09,8.17186173898278,True,Kidney
254,ENSR00000046857,-1.9231949858418604,2.6755331543989187e-09,6.877739405544195e-09,8.162554283425058,True,Kidney
255,19:23344837-23350837,-1.6591151278484582,2.6683723668175342e-09,6.877739405544195e-09,8.162554283425058,True,Kidney
256,ENSR00000339530,-1.771646180976929,2.903256319821324e-09,7.357115446819946e-09,8.133292429016157,True,Kidney
257,ENSR00000243983,-1.771646180976929,2.903256319821324e-09,7.357115446819946e-09,8.133292429016157,True,Kidney
258,ENSR00000031920,-1.6890251539069987,2.919082354704661e-09,7.376264760330192e-09,8.132163503303829,True,Kidney
259,ENSR00000041160,-1.9543280371228837,2.967047315702733e-09,7.476288716403497e-09,8.126313935554341,True,Kidney
260,ENSR00000243982,-1.7795308940220247,2.9994811195198246e-09,7.536724390455447e-09,8.122817366099166,True,Kidney
261,ENSR00000080480,-2.232811400774114,3.889469223205653e-09,9.71822562212729e-09,8.012413022405404,True,Kidney
262,ENSR00000080481,-2.280996112906029,3.952916773623034e-09,9.821731927776453e-09,8.007811923582162,True,Kidney
263,ENSR00000097729,-2.4240864662818713,4.005338518481875e-09,9.924338773571757e-09,8.003298419230376,True,Kidney
264,ENSR00000018884,-1.6419813124943492,4.571223848027581e-09,1.123286962104849e-08,7.949509281905587,True,Kidney
265,ENSR00000065907,-1.5183254919622646,5.007745025520534e-09,1.2238105651409086e-08,7.9122858018644955,True,Kidney
266,ENSR00000263320,-2.312890217881362,7.232344534711857e-09,1.7300885667761663e-08,7.761931663878357,True,Kidney
267,ENSR00000059933,-1.6702519809568817,7.635723846082246e-09,1.8162841788547636e-08,7.740816200058902,True,Kidney
268,ENSR00000018883,-1.5642848391022286,1.501081839171415e-08,3.4244629169844046e-08,7.465407532341,True,Kidney
269,ENSR00000015445,-2.4320859528679963,1.5167639300091585e-08,3.4514117999188e-08,7.462003220435316,True,Kidney
270,ENSR00000025052,-2.0905548632116067,2.1063191628389116e-08,4.6737231175430576e-08,7.330337019818208,True,Kidney
271,ENSR00000189499,-1.669204523136779,2.6061248312492064e-08,5.7399095048747954e-08,7.241094954613059,True,Kidney
272,ENSR00000258358,-2.0358036243092443,3.396528875592419e-08,7.389521358605946e-08,7.131383691246355,True,Kidney
273,ENSR00000168955,-1.6427970295859409,3.692827810756507e-08,7.975792753498316e-08,7.098226139448337,True,Kidney
274,ENSR00000322368,-1.7141319023837973,5.266196480792141e-08,1.123791210733634e-07,6.949314368881811,True,Kidney
275,ENSR00000237379,-1.581025042659093,5.6340634087686793e-08,1.199423522821399e-07,6.921027438130092,True,Kidney
276,ENSR00000172592,-1.5131602330632399,5.814304128980967e-08,1.2319143190144948e-07,6.909419496776467,True,Kidney
277,ENSR00000168732,-1.5403633845412312,5.9077545083475506e-08,1.2457959861574503e-07,6.904553072717359,True,Kidney
278,20:44357742-44363742,-2.369675146975555,6.654399994378367e-08,1.3966411282318832e-07,6.854915173020221,True,Kidney
279,ENSR00000286304,-1.9912932346868633,8.762401762056938e-08,1.8176889236639045e-07,6.740480439208577,True,Kidney
280,18:58488973-58494973,-2.004905775068199,1.8017534382979915e-07,3.652645606731383e-07,6.437392462610764,True,Kidney
281,ENSR00000031905,-1.6489204299630371,2.100964615570832e-07,4.239955740020774e-07,6.372638676889596,True,Kidney
282,ENSR00000080475,-1.8393144360012734,2.3395592214594422e-07,4.6896418592127366e-07,6.328860322424922,True,Kidney
283,2:34819739-34825739,-1.7690625252590837,2.7302525752912015e-07,5.41196732702167e-07,6.266644833977043,True,Kidney
284,ENSR00000100962,-1.563219748822038,3.5000455114400976e-07,6.876741401331645e-07,6.162617306919622,True,Kidney
285,ENSR00000146558,-2.420147486170822,3.790976645193955e-07,7.3994555087812e-07,6.130800236786848,True,Kidney
286,ENSR00000197722,-2.290788055511994,3.826721573607533e-07,7.437027811260127e-07,6.12860059443638,True,Kidney
287,6:106758262-106764262,-1.5584626582236563,4.5818913279890827e-07,8.84642221767589e-07,6.053232336678951,True,Kidney
288,ENSR00000311539,-2.0662564641020253,5.556186199805628e-07,1.0612672570078416e-06,5.974175234734003,True,Kidney
289,ENSR00000119894,-1.590810329180902,6.294334056091462e-07,1.1920479783510794e-06,5.923706264466761,True,Kidney
290,ENSR00000080479,-1.6323661061042005,3.4245772057891255e-06,6.025094413341025e-06,5.220036143297199,True,Kidney
291,ENSR00000244233,-1.8565046857258463,4.04486207968004e-06,7.019488278355244e-06,5.153694546842699,True,Kidney
292,17:70118244-70124244,-2.1785117925732966,6.924119573759348e-06,1.1609614022167931e-05,4.935182218747997,True,Kidney
293,ENSR00000278782,-1.8775787746058916,7.38889534181888e-06,1.23194292428083e-05,4.909409412499582,True,Kidney
294,ENSR00000046868,-1.5594557589246698,1.2159352436915325e-05,1.9613277348514414e-05,4.707449830327628,True,Kidney
295,ENSR00000097730,-1.7686933404903518,6.734320126300131e-05,0.00010146982352465738,3.9936630949455845,True,Kidney
296,ENSR00000312676,-1.8862905770340375,0.0008155459199824563,0.001097235234727528,2.9597002546566085,True,Kidney
297,ENSR00000212023,-1.7954099492334084,0.01961034247348911,0.023864154824491522,1.6222539420460853,True,Kidney
0,ENSR00000136023,2.0631952158577147,1.421350057359068e-19,1.1669283970917949e-16,15.932955791514145,True,Kidney
1,17:64121472-64127472,1.5178066817157392,7.531073402793806e-13,7.633347239128043e-12,11.117284981217624,True,Kidney
2,ENSR00000013692,-5.933299221320842,5.741701164272674e-19,2.3569683279339324e-16,15.627646253324611,True,Kidney
3,ENSR00000092918,-3.2138402198113325,4.336258370977191e-18,8.900170306430685e-16,15.050601682969084,True,Kidney
4,17:29740603-29746603,-3.2627933401799107,3.722607413360741e-18,8.900170306430685e-16,15.050601682969084,True,Kidney
5,ENSR00000094273,-4.073221633786899,7.459703840370844e-18,1.2248833705888926e-15,14.911905261439065,True,Kidney
6,ENSR00000092917,-3.0393644920646707,1.099864733739208e-17,1.2899842091426996e-15,14.889415605921034,True,Kidney
7,ENSR00000092919,-3.041644044688258,9.459525317538171e-18,1.2899842091426996e-15,14.889415605921034,True,Kidney
8,ENSR00000041252,-2.26745262440473,2.6065640828216698e-17,2.139989111996591e-15,14.669588436282504,True,Kidney
9,ENSR00000216088,-2.5123801695567853,2.4803033601187254e-17,2.139989111996591e-15,14.669588436282504,True,Kidney
10,ENSR00000201131,-3.241313873866936,2.1982815690316383e-17,2.139989111996591e-15,14.669588436282504,True,Kidney
11,ENSR00000027936,-2.7086279242517133,5.132417063154489e-17,3.83064946259076e-15,14.416727587883223,True,Kidney
12,ENSR00000229546,-3.0023982905669566,6.290400614444188e-17,4.3036824203822324e-15,14.36615978384824,True,Kidney
13,ENSR00000211928,-2.284612291352861,1.3539187491147832e-16,8.050594010533136e-15,14.09417207416888,True,Kidney
14,ENSR00000211927,-2.283405773057814,1.3728174926609488e-16,8.050594010533136e-15,14.09417207416888,True,Kidney
15,ENSR00000325273,-3.259543187913764,1.5334582367924803e-16,8.393128082710843e-15,14.076076149317478,True,Kidney
16,ENSR00000021040,-2.0937084530197585,1.848272098344581e-16,8.488287688083088e-15,14.07117990959332,True,Kidney
17,ENSR00000027731,-2.886310215146761,1.6895667050996608e-16,8.488287688083088e-15,14.07117990959332,True,Kidney
18,ENSR00000097103,-2.969035616515678,1.8610131350243066e-16,8.488287688083088e-15,14.07117990959332,True,Kidney
19,ENSR00000336446,-4.490815558290708,2.6661005043147994e-16,1.0944342570212252e-14,13.960810321506234,True,Kidney
20,ENSR00000097102,-2.800857130769855,2.625494389143054e-16,1.0944342570212252e-14,13.960810321506234,True,Kidney
21,ENSR00000090018,-2.2823292548749325,3.116805218196795e-16,1.2185224210188422e-14,13.914166475313744,True,Kidney
22,ENSR00000282063,-2.2715624730940998,3.7748045017484056e-16,1.3847240563023157e-14,13.858636762892088,True,Kidney
23,ENSR00000284134,-2.8218301184937693,3.8792513148542337e-16,1.3847240563023157e-14,13.858636762892088,True,Kidney
24,ENSR00000074242,-2.2502999539046527,9.122314119049853e-16,3.120591621558304e-14,13.505763061872377,True,Kidney
25,ENSR00000262508,-2.5637825722766094,1.998736745120086e-15,6.563851470974362e-14,13.182841254868496,True,Kidney
26,ENSR00000262509,-2.5349880380589207,2.5565570995935477e-15,7.773827328764084e-14,13.109365110089852,True,Kidney
27,ENSR00000209742,-2.834288014720367,3.4674352511305906e-15,9.48921447059405e-14,13.022769737541775,True,Kidney
28,ENSR00000165726,-2.1518793232577664,3.4445790970055805e-15,9.48921447059405e-14,13.022769737541775,True,Kidney
29,ENSR00000216129,-2.0955502350885076,3.4218992399641798e-15,9.48921447059405e-14,13.022769737541775,True,Kidney
30,ENSR00000087861,-1.8096427302406688,3.803326590246567e-15,9.952717516718032e-14,13.002058322130896,True,Kidney
31,ENSR00000335475,-1.7888227936917058,3.879256522959525e-15,9.952717516718032e-14,13.002058322130896,True,Kidney
32,ENSR00000027547,-2.1473798088581497,4.282601117730933e-15,1.0654592477748775e-13,12.97246315674749,True,Kidney
33,ENSR00000263062,-1.8000809489510525,1.1269997501339837e-14,2.643619413885716e-13,12.577801067471723,True,Kidney
34,ENSR00000083753,-1.5005787942612128,1.2582889399012738e-14,2.8695978323859606e-13,12.542178964385885,True,Kidney
35,ENSR00000163987,-2.956224307061056,1.6615028853168132e-14,3.5897207074871147e-13,12.44493933969902,True,Kidney
36,ENSR00000199772,-1.7665867569122966,1.7268479027769864e-14,3.6352362261023227e-13,12.439467362422736,True,Kidney
37,ENSR00000333971,-2.762908118942389,1.794895607736056e-14,3.684023234878255e-13,12.433677639401466,True,Kidney
38,2:190942782-190948782,-2.5159744559013233,1.9640998001468662e-14,3.7985930851535317e-13,12.420377226670992,True,Kidney
39,ENSR00000013533,-1.9424557829006288,2.0413318298388607e-14,3.8089396188584194e-13,12.419195911929354,True,Kidney
40,ENSR00000125658,-3.7961385672554013,2.1062067098792476e-14,3.8426571306908046e-13,12.415368364661864,True,Kidney
41,ENSR00000043025,-1.7725982811837984,2.306133343261661e-14,4.1159466843865736e-13,12.38553025947488,True,Kidney
42,ENSR00000037509,-1.7382734874467969,2.443101482346015e-14,4.26763046171506e-13,12.369813193602354,True,Kidney
43,ENSR00000251054,-3.0392379939628245,2.7453592762676677e-14,4.695708262116157e-13,12.328298893040017,True,Kidney
44,ENSR00000253250,-2.071210008847687,3.6999286885310204e-14,6.075282906567935e-13,12.216433493548482,True,Kidney
45,ENSR00000261844,-2.600816905309337,4.5909612457789246e-14,7.390547417224504e-13,12.131323392258086,True,Kidney
46,ENSR00000175179,-2.0238910079232997,5.989448080285238e-14,9.456417065219578e-13,12.024273381944086,True,Kidney
47,ENSR00000259760,-2.310760118899753,8.308978098042359e-14,1.2871077393382597e-12,11.89038509828466,True,Kidney
48,ENSR00000253769,-2.44450052000251,8.519272561011382e-14,1.2952449578871008e-12,11.887648089653519,True,Kidney
49,ENSR00000053727,-2.540232579322829,9.718848387287023e-14,1.450759004720481e-12,11.838404725131324,True,Kidney
50,ENSR00000172592,-2.5199080605965904,1.0549455338886527e-13,1.5466255059331855e-12,11.810614831999235,True,Kidney
51,2:190946600-190952600,-2.5433902738525886,1.1013768682809715e-13,1.5863691383485572e-12,11.799595747602108,True,Kidney
52,ENSR00000163986,-2.9515393650967647,1.3371225172690586e-13,1.8927199770308573e-12,11.72291363401612,True,Kidney
53,ENSR00000335161,-1.6342384749667858,1.3871114592409859e-13,1.930200861079406e-12,11.714397494971795,True,Kidney
54,ENSR00000172593,-2.4872932745202663,2.0533417062377253e-13,2.809655901368621e-12,11.551346864894718,True,Kidney
55,3:193825696-193831696,-2.992793355331979,2.477254876904142e-13,3.334141399898853e-12,11.477015985823664,True,Kidney
56,ENSR00000309925,-1.6858428063159194,2.6890738656920373e-13,3.5608542640857458e-12,11.448445800433735,True,Kidney
57,ENSR00000075569,-2.0762504695194806,2.8420356403182654e-13,3.703668667779835e-12,11.431367872473688,True,Kidney
58,ENSR00000186035,-1.6313788806147462,3.135365659469207e-13,3.960208009883414e-12,11.402282002162362,True,Kidney
59,ENSR00000186034,-1.6295406427296955,3.0971336444434667e-13,3.960208009883414e-12,11.402282002162362,True,Kidney
60,ENSR00000010575,-1.9027232917101216,3.193595509807567e-13,3.972639262957595e-12,11.400920869432374,True,Kidney
61,20:337919-343919,-2.0092941674802374,3.292983362200666e-13,4.035133343830965e-12,11.394142109136922,True,Kidney
62,ENSR00000143262,-1.8492250501166154,3.4583034979391025e-13,4.1148799591420336e-12,11.385642829672278,True,Kidney
63,1:46325179-46331179,-3.0353094179243088,3.9319239296687466e-13,4.5466331637437196e-12,11.342310084587217,True,Kidney
64,ENSR00000163985,-2.928761786011895,4.0339948942388375e-13,4.599874733569563e-12,11.337253995114134,True,Kidney
65,ENSR00000038731,-2.420520941698791,4.579956390368773e-13,5.081275941206437e-12,11.294027219872376,True,Kidney
66,ENSR00000133401,-1.9776579239501517,5.048706239057153e-13,5.526650429687897e-12,11.25753800443556,True,Kidney
67,ENSR00000294629,-1.726952067338533,6.435597491592627e-13,6.952138869207298e-12,11.15788156142589,True,Kidney
68,ENSR00000127939,-2.4533942429457194,6.795866807416385e-13,7.2459826608946126e-12,11.1399027095351,True,Kidney
69,ENSR00000295791,-2.400205598467911,7.440275242157926e-13,7.633347239128043e-12,11.117284981217624,True,Kidney
70,ENSR00000329967,-1.7935654452530982,7.395908115097034e-13,7.633347239128043e-12,11.117284981217624,True,Kidney
71,ENSR00000223718,-1.7230694353960054,7.307107287198192e-13,7.633347239128043e-12,11.117284981217624,True,Kidney
72,ENSR00000294630,-1.8941611033145076,8.54777011852021e-13,8.558194228420845e-12,11.06761786141668,True,Kidney
73,ENSR00000213062,-1.6254911235969793,1.0805452343887655e-12,1.056104330277591e-11,10.976293176664198,True,Kidney
74,ENSR00000213063,-1.5798120274736507,1.1472866836938257e-12,1.1081439615442717e-11,10.955403815742121,True,Kidney
75,ENSR00000232284,-1.7187619346706,1.1892560361783753e-12,1.135324657793542e-11,10.944879929725014,True,Kidney
76,ENSR00000155637,-2.1364984008793106,1.2179428844558336e-12,1.1493461013083212e-11,10.939549173004677,True,Kidney
77,ENSR00000099563,-1.6896275777080818,1.2854293456660324e-12,1.199247150899787e-11,10.921091304631897,True,Kidney
78,ENSR00000061665,-1.6749851698642393,1.380950449275424e-12,1.2597336876168034e-11,10.899721256646634,True,Kidney
79,7:30913772-30919772,-2.4013096346045204,1.3808038268872274e-12,1.2597336876168034e-11,10.899721256646634,True,Kidney
80,ENSR00000025462,-1.7853246181610902,2.0447605591802845e-12,1.8051058269752834e-11,10.743497331861294,True,Kidney
81,1:205554617-205560617,-1.8293107779475288,2.0686459335805737e-12,1.8067641611379266e-11,10.743098532663668,True,Kidney
82,ENSR00000297000,-1.8403929980068157,2.544774303798644e-12,2.1992207404407226e-11,10.657731177394997,True,Kidney
83,ENSR00000175180,-1.8048519319304566,3.3951475550421545e-12,2.844302186417968e-11,10.546024264861384,True,Kidney
84,ENSR00000256319,-1.7410796160084931,3.9164981574061906e-12,3.24792422952574e-11,10.48839411092184,True,Kidney
85,ENSR00000087862,-1.5491215361324475,4.4960734146942365e-12,3.691276273463968e-11,10.432823448830167,True,Kidney
86,ENSR00000325274,-1.9922766864908796,5.022597277704917e-12,4.0426983970546444e-11,10.393328657721675,True,Kidney
87,ENSR00000169429,-1.7885815903057691,5.292678515204717e-12,4.218727243672886e-11,10.374818552455762,True,Kidney
88,ENSR00000323914,-2.927039527512149,5.687735507086771e-12,4.4472674774459424e-11,10.351906749461468,True,Kidney
89,ENSR00000310601,-1.6385485265979907,6.084370673126656e-12,4.7125172855065893e-11,10.326747043791698,True,Kidney
90,ENSR00000211619,-1.7297619337053467,6.263336316729178e-12,4.7612954778098665e-11,10.322274866120432,True,Kidney
91,ENSR00000295789,-2.2219160155795166,6.221643375597303e-12,4.7612954778098665e-11,10.322274866120432,True,Kidney
92,ENSR00000091917,-1.9749719895656406,7.786696123386232e-12,5.865025245229446e-11,10.231730114180976,True,Kidney
93,ENSR00000043060,-1.9354795262364148,7.893209969366398e-12,5.891204895318011e-11,10.229795872297359,True,Kidney
94,ENSR00000073564,-1.8043834191458963,8.171568394230431e-12,5.990051474699271e-11,10.222569445543611,True,Kidney
95,ENSR00000265222,-1.9349667663052563,8.12420660570172e-12,5.990051474699271e-11,10.222569445543611,True,Kidney
96,ENSR00000292392,-1.85974736169882,1.4746618744091868e-11,1.0347841016153354e-10,9.985150252388594,True,Kidney
97,ENSR00000206273,-1.7045834038039471,1.7097131438508362e-11,1.1895546534758784e-10,9.924615599732036,True,Kidney
98,ENSR00000091918,-1.9677834916465204,1.910297175655174e-11,1.3179445220276454e-10,9.880102870686136,True,Kidney
99,ENSR00000206272,-1.6926922333959484,2.940220405213504e-11,1.962537359902672e-10,9.707182067043785,True,Kidney
100,ENSR00000025461,-1.5339963591849273,3.344969497099235e-11,2.214693513805219e-10,9.654686366268365,True,Kidney
101,ENSR00000325922,-1.6207941816141533,3.761853745411777e-11,2.470785539986455e-10,9.607164948989867,True,Kidney
102,ENSR00000177388,-1.6194331552128183,4.2059317829013194e-11,2.7125347424819285e-10,9.56662469061012,True,Kidney
103,2:34684326-34690326,-1.9635146031142507,4.229043203869511e-11,2.7125347424819285e-10,9.56662469061012,True,Kidney
104,5:1562421-1568421,-1.609410438758435,5.224252908777249e-11,3.2493269985652435e-10,9.488206580890656,True,Kidney
105,ENSR00000206173,-1.5353539387473227,5.3119068089387746e-11,3.27256203845659e-10,9.485112111712583,True,Kidney
106,ENSR00000188682,-2.0398633319052526,5.3413314634979665e-11,3.27256203845659e-10,9.485112111712583,True,Kidney
107,ENSR00000309103,-1.6914984202407832,5.836353022240967e-11,3.549367282414692e-10,9.449849058281917,True,Kidney
108,ENSR00000004187,-2.1938305750366918,5.96666076623709e-11,3.5756412329055845e-10,9.446646063250245,True,Kidney
109,ENSR00000188681,-2.103524056488941,6.626960919922318e-11,3.914197780759873e-10,9.407357233628835,True,Kidney
110,5:5308414-5314414,-1.780780357446337,8.396238517857691e-11,4.923794159400832e-10,9.307700111164147,True,Kidney
111,ENSR00000217165,-1.7861099918754537,1.0800677840780246e-10,6.115418280883159e-10,9.213573832844077,True,Kidney
112,ENSR00000211832,-1.8982785711087302,1.1849506928226612e-10,6.663318621968527e-10,9.176309419441708,True,Kidney
113,ENSR00000339530,-2.129114086385942,1.230998571225108e-10,6.828715047133877e-10,9.165661009413585,True,Kidney
114,ENSR00000243983,-2.129114086385942,1.230998571225108e-10,6.828715047133877e-10,9.165661009413585,True,Kidney
115,1:46328090-46334090,-2.4648146807308637,1.2718416583197034e-10,7.007932895842125e-10,9.154410065388065,True,Kidney
116,ENSR00000141033,-1.731904375936348,1.291163169772769e-10,7.066966415889623e-10,9.150766972563652,True,Kidney
117,ENSR00000243982,-2.133952256059344,1.3283650683494964e-10,7.222435239171765e-10,9.141316343619652,True,Kidney
118,ENSR00000211831,-1.8960590913687676,1.4726332409104666e-10,7.954157176233507e-10,9.099405831492298,True,Kidney
119,ENSR00000262893,-2.510372445205401,1.9279446902457595e-10,1.027819864085564e-09,8.98808299320914,True,Kidney
120,ENSR00000077096,-1.6766597438229416,2.1402960254166268e-10,1.1263993826070837e-09,8.948307596243875,True,Kidney
121,ENSR00000082519,-1.6306014825595117,2.3538649531996375e-10,1.2231159028967736e-09,8.912532387114572,True,Kidney
122,ENSR00000295787,-1.648785207875832,3.8029702182883024e-10,1.9636720435312556e-09,8.706931042810647,True,Kidney
123,ENSR00000312036,-2.1020792656795617,3.864462244156336e-10,1.98295218903272e-09,8.70268775694426,True,Kidney
124,ENSR00000119894,-2.2151674809565978,7.937290878214386e-10,3.998023091310802e-09,8.39815470186375,True,Kidney
125,ENSR00000231303,-2.561496863373942,8.898647697753974e-10,4.427751369609705e-09,8.353816773935621,True,Kidney
126,ENSR00000317503,-2.4740594713077884,1.1469789540793235e-09,5.443177579763726e-09,8.264147496905883,True,Kidney
127,ENSR00000032190,-2.186403024515261,1.1769483127530187e-09,5.5215689415441616e-09,8.25793750092312,True,Kidney
128,ENSR00000223532,-1.870468155566251,1.2010020146024854e-09,5.572941386628318e-09,8.253915524608926,True,Kidney
129,13:43058818-43064818,-1.8681247075067011,1.2014745742182854e-09,5.572941386628318e-09,8.253915524608926,True,Kidney
130,ENSR00000323997,-2.0393084777341763,1.2449427079047403e-09,5.710044487093808e-09,8.243360508142226,True,Kidney
131,ENSR00000014617,-1.6297390789147366,1.3455389926713702e-09,6.1032459280839505e-09,8.214439129951987,True,Kidney
132,ENSR00000041160,-1.9843161201653812,1.414544305341057e-09,6.346124998278731e-09,8.197491377945019,True,Kidney
133,ENSR00000051998,-1.66174859033418,1.475813802691868e-09,6.549422335189317e-09,8.183797003474341,True,Kidney
134,ENSR00000295788,-1.5372859029417703,1.5451821945667048e-09,6.783928244594998e-09,8.168518754374757,True,Kidney
135,ENSR00000169428,-1.5091406281529158,1.6266563596975662e-09,7.103642932509052e-09,8.14851887666897,True,Kidney
136,ENSR00000137658,-1.8017194936530145,2.3468524797518325e-09,1.008777950720552e-08,7.996204418886447,True,Kidney
137,ENSR00000260012,-1.8245660785762496,2.872775948280105e-09,1.2218874836281788e-08,7.912968783855487,True,Kidney
138,ENSR00000217166,-1.5629725138483805,4.487383024837669e-09,1.851327368538556e-08,7.732516778557295,True,Kidney
139,ENSR00000223079,-1.5074525756879018,5.0562956988097656e-09,2.0550587963974343e-08,7.687175748198777,True,Kidney
